Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
91402,2025,Randy White,JR,Lynchburg,5,1487.3006,1490.6010999999999,29.47301952273476,7,0,193,1557.2193
77237,2025,Bennett Melita,JR,Utica,8,1468.9005000000002,1504.6005,25.643155285603978,7,0,194,1558.7194
106952,2025,Ben Lorenz,SO,Washington U.,6,1528.9033000000002,1528.9033000000002,26.949199065397032,7,0,195,1559.0195
91291,2025,Ander Julian,SR,Wartburg,5,1453.4007000000001,1453.4007000000001,20.41584649497537,21,0,196,1559.4196000000002
67357,2025,Lance Miller,SR,Knox,7,1468.7002,1468.7002,42.7942461930854,21,0,197,1559.6197
91922,2025,Tiernan Colby,JR,Pomona-Pitzer,5,1496.007,1496.007,35.44968194798933,35,0,198,1559.8198
96501,2025,Cooper Jacobsen,SO,Hope,5,1529.3008,1529.3008,29.739000355869425,21,0,199,1560.9199
92152,2025,Avery Smart,JR,Tufts,5,1496.6048999999998,1496.6048999999998,14.933165899379867,35,0,200,1561.72
94554,2025,Jacob Pippel,SO,Claremont-Mudd-Scripps,6,1481.0046,1481.0046,23.102545468657606,56,0,201,1561.9201
71713,2025,Zach Utz,JR,Middlebury,5,1523.4089000000001,1523.4089000000001,19.23530557704759,35,0,202,1563.3201999999999
61993,2025,Jacob Clouse,SR,Ohio Northern,6,1481.8029999999999,1506.7006000000001,35.167142074878925,7,0,203,1563.5203
123840,2025,Jack Galminas,FR,North Central (Ill.),5,1500.3003999999999,1500.3003999999999,22.13744284804377,21,0,204,1563.5204
70208,2025,Ian Barnes,SR,Wis.-Eau Claire,6,1500.3024,1500.3024,29.476958395310874,21,0,205,1563.5205
88386,2025,Kevin Matthews,SR,TCNJ,7,1489.9009,1489.9009,20.10099317383098,7,0,206,1564.9206000000001
66376,2025,Jonathan Harlow,SR,Hope,6,1526.7014000000001,1526.7014000000001,15.854426766225226,7,0,207,1565.0207
81374,2025,William Wadsley,SO,Central College,7,1462.901,1462.901,42.727033346403985,21,0,208,1565.2208
66363,2025,Lucas Guidone,SR,Hope,5,1505.7061,1524.9007000000001,19.318868359404494,21,0,209,1565.7209
88601,2025,Paul Pfeifer,JR,Wis.-Platteville,5,1504.203,1504.203,80.24154107996681,21,0,210,1566.321
106954,2025,Cameron Sidebotham,SO,Lynchburg,6,1525.3026,1531.4096000000002,36.42514269041203,35,0,211,1566.4211
69516,2025,Ryan Hardiman,SR,Williams,7,1486.0023,1506.7063,18.562245221453875,35,0,212,1566.5212
97262,2025,Cooper Gundersen,SO,St. Olaf,6,1558.0045,1558.0045,23.810050355545233,7,0,213,1566.8213
102925,2025,Wyatt Leitzel,SO,Lebanon Valley,6,1548.7053,1548.7053,16.62045667330373,35,0,214,1567.6214
67605,2025,Connor Oiler,SR,Johns Hopkins,5,1476.1028999999999,1476.1028999999999,26.057274151729775,35,0,215,1567.8215
89405,2025,Jack Crum,JR,Bates,5,1506.4016000000001,1506.4016000000001,25.119455567077857,7,0,216,1568.0216
96569,2025,Jack Weddle,SO,Lynchburg,6,1527.802,1527.802,26.249622081993902,7,0,217,1568.2217
