Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
27116,2021,John Cox,GR,Emory,5,1517.0,1545.3,13.540010155092208,7,0
27125,2021,Andrew Pahnke,GR,Vanderbilt,5,1568.2,1568.2,11.53559708034219,7,0
27147,2021,Justin Pecore,GR,Emory,5,1567.5,1567.5,19.163050383485437,35,0
27440,2021,Cameron Bensley,GR,Berry,6,1530.7,1530.7,26.703895887221314,35,0
27441,2021,Ben Hazelwood,GR,Rhodes,5,1526.7,1526.7,41.001608200166956,35,0
28259,2021,Matthew Karee,GR,Carnegie Mellon,5,1467.0,1535.3,22.683970111071794,35,0
28265,2021,Michael Obroin,GR,Carnegie Mellon,6,1471.0,1471.7,51.2692266374284,50,0
28270,2021,Riley Grossman,GR,Suny Geneseo,5,1496.3,1496.3,39.36523339191579,49,0
28275,2021,Ezra Ruggles,GR,Suny Geneseo,5,1450.3,1450.3,54.65414897333963,49,0
28276,2021,Nick Andrews,GR,Suny Geneseo,5,1485.2,1485.2,47.75795640518974,49,0
28280,2021,Maximillian Sparks,GR,Lynchburg,4,1484.0,1511.5,33.901659251428974,35,0
28286,2021,Bradley Farnham,GR,Suny Geneseo,5,1520.0,1537.5,33.925294398133076,7,0
28311,2021,Brennan Straits,GR,Lynchburg,3,1558.0,1596.9,7.685628724371757,35,0
28327,2021,Connor McCroy,GR,Lynchburg,4,1558.3,1558.3,35.16911820048947,7,0
28366,2021,Frank Csorba,GR,Lynchburg,3,1482.7,1482.7,44.249620211803894,35,0
28372,2021,Elijah Sech,GR,Carnegie Mellon,6,1523.5,1523.5,38.36474423217233,50,0
28548,2021,Andrew Meredith,GR,Bowdoin,4,1549.0,1572.7,11.5109730257698,35,0
29713,2021,Scott Sikorski,GR,Rochester,5,1539.8,1539.8,24.17770874173153,7,0
29718,2021,Aidan Mayer,GR,Vassar,7,1564.3,1564.3,16.778915340390725,42,0
30815,2021,Ben Timmons,GR,Suny Geneseo,6,1512.1,1512.1,47.18335688213238,49,0
30824,2021,Matthew Blauvelt,GR,Suny Geneseo,4,1538.0,1538.0,39.15209924129231,7,0
31577,2021,Ryan Cory,GR,Cortland St.,8,1527.7,1527.7,35.388537288627354,7,0
32846,2021,Jackson Hamilton,GR,St. Lawrence,6,1535.7,1535.7,24.776236094290027,7,0
32847,2021,George Gowdy,GR,St. Lawrence,7,1541.4,1541.4,35.41081190822937,7,0
33411,2021,Noah Cummisford,GR,Calvin,4,1528.0,1536.7,9.53388693031336,7,0
33452,2021,Alex Phillip,GR,North Carolina,5,1419.2,1419.2,29.38818810338602,50,0
33453,2021,Ian Pierson,GR,John Carroll,5,1470.0,1502.1,21.259294437962936,50,0
33455,2021,Jared Arnold,GR,John Carroll,4,1487.9,1487.9,35.16180456119961,50,0
33544,2021,Logan Horst,GR,Messiah,7,1538.2,1538.2,18.524728218129276,49,0
33857,2021,Tyler Morris,GR,Colby,4,1468.7,1468.7,11.903859668191602,20,0
33860,2021,Sam Gatti,GR,Tufts,5,1542.0,1551.4,47.78208346231877,20,0
33861,2021,Ewan Frick,GR,Colby,4,1518.0,1552.5,21.246529128307046,20,0
33867,2021,Ben Mellor,GR,Colby,4,1556.0,1558.6,4.925634476897433,49,0
33874,2021,Zander Kessler,GR,Middlebury,6,1505.4,1505.4,38.18989467850826,20,0
33876,2021,Travis Martin,GR,Trinity (Conn.),6,1499.3,1499.3,14.230491031584247,35,0
34073,2021,Munir Isahak,GR,Concordia-Moorhead,6,1490.2,1490.2,31.845682595918714,21,0
34793,2021,Seth Bywater,GR,SUNY Delhi,7,1546.7,1546.7,44.38569589406026,7,0
35689,2021,Andrew Mah,GR,MIT,4,1484.0,1503.1,29.707490637884604,35,0
35693,2021,John Reed,GR,RPI,6,1509.9,1509.9,25.036725025450064,7,0
35694,2021,Vedang Lad,GR,MIT,4,1506.9,1506.9,38.321493642602164,35,0
35696,2021,Sam Acquaviva,GR,MIT,4,1487.2,1487.2,33.757693567541004,35,0
35698,2021,Finn Jacobson-Schulte,GR,MIT,4,1513.4,1513.4,43.21327197748393,21,0
35699,2021,Ryan Wilson,GR,MIT,3,1493.5,1493.5,49.94505870342821,35,0
35717,2021,Matthew Kearney,GR,MIT,4,1490.5,1490.5,30.61408989338078,35,0
36843,2021,Michael Olson,GR,Plymouth State,7,1550.0,1559.8,24.918828222851904,42,0
38021,2021,Logan Bocovich,GR,Colo. Sch. Of Mines,6,1481.8,1481.8,42.138039821519946,7,0
